22,P.S. Design - Surachai & Wanna Arkanit,T-Shirts & Sweatshirts,206-431-0108,17968 48th Ave. S.,Seatac,WA,98188,chaina9@hotmail.com,,"Daily ",Main Arcade,We have made and sold Pike Place Market T-shirts for more than 12 years. We give you the best price in the Market.<strong><br /></strong>,000000032,0,0
23,Art Stall Gallery,Fine Art and Cards,206-623-7538,"c/o Joan Glenn, 202 N.W. 201",Shoreline,WA,98177-2012,jglenn37@attbi.com,www.artstallgallery.com,Monday through Saturday; Summer Hours: 10 a.m. - 6 p.m.; Winter Hours: 10 a.m. - 5 p.m.,Economy Market Building,"We are a group of 13 Northwest artists. Our gallery has been in the Market since 1965. We feature only original art; no prints or reproductions except for notecards and postcards. Artists are on duty at Gallery during business hours. Located at 97 Pike, near DeLaurenti's<a href=""â€™http://www.eskimo.com/~artistâ€™"" target=""â€™_newâ€™"">.<br /></a>",000000054,0,0
24,"Athenian Inn Seafood Restaurant and Bar ",Breakfast-Lunch-Early Dinner,206-624-7166,1517 Pike Place,Seattle,WA,98101,,www.athenianinn.com,See Above,Main Arcade,"American seafood menu with full lounge service Daily Happy Hour with Seattleâ€™s best Happy Hour view. Located inside the Main Arcade on Pike Place next to Pure Food Fish Market.<br /><br /><span style=""text-decoration: underline;"">Dining Hours</span><br />Mon - Sat Â 6:30AM â€“ 6:30 PM<br /><span style=""text-decoration: underline;"">Happy Hour with Bites </span><br />Mon â€“ Sat Â 4:00 PM â€“ 7:30 PM<br /><span style=""text-decoration: underline;"">Sunday Dining</span><br />9:00 AM â€“ 3:30 PM (Bar last call 4:30PM)<br /><span style=""text-decoration: underline;"">JUNE THRU AUGUST</span><br />Mon thru Sat seating for Dinner and Happy Hour until 8:30 PM<br />","000000087,000000088",0,0
25,LA Art,Leslie Atwood,425-344-5622,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000043,0,0
27,Whistling at the Moon,Glass Picture Frames and Glass Vases,360- 402-3940,,,,,billaune@yahoo.com,,,"North Arcade, Desimone Bridge & on Pike Place","Fused glass picture frames of many colors and fused glass flower vases, also in a wide range of colors.<br />",000000036,0,0
28,Bacco Cafe,"Breakfast, Lunch and Dinner",206-443-5443,86 Pine Street,Seattle,WA,98101,info@baccobeverage.com,http://www.baccocafe.net/,7 a.m. â€“ 3 p.m. daily,First Avenue & Upper Post Alley,"The concept of dining at Bacco is to savor quality food that is prepared with only the finest and freshest Market ingredients, while maintaining a casual approach. Friendly staff, great food and value pricing. On the corner of First Avenue and Stewart Street.<br /><br />","000000087,000000088",0,0
29,Balcony Barber Shop,,206-622-6198,1501 Pike Place,Seattle,WA,98101,,,,DownUnder,,000000070,0,0
30,Bao Cha,"Fresh and Dried Flowers, Beets and Spinach",425-868-3258,6616 - 247th Ave. N.E.,Redmond,WA,98053,,,"Monday, Wednesday, Friday - Sunday Year-round",Main Arcade,Our fresh and dried flowers and vegetables are grown locally on our farm. Our business is family owned and has been selling at Pike Place Market for more than 10 years. Orders for special occasions are welcomed. A week or three days notice is acceptable.<br />,"000000025,000000053",0,0
31,Bavarian Meats Delicatessan,,206-441-0942,,,,,,,,Pike Place - North End,,000000021,0,0
32,Bayou on 1st,,206-624-2598,,,,,,,,Corner Market & Sanitary Market,,"000000087,000000088",0,0
33,Market Beads,"Beads, Beading Supplies, Jewelry Components",206-462-1373,"1501 Pike Place Market, #326",Seattle,WA,98101,info@thebeadzoneonline.net,,Sunday and Monday 11:30 am - 6:00 pm. Tuesday - Saturday 10:00 am - 6:00 pm.,DownUnder,"We have a wide variety of semi-precious gemstones, Czech glass beads, Austrian Swarovski crystals, coral, turquoise, seed beads and an interesting array of unique sterling silver beads and antique silver jewelry components. We work directly with those who hand craft the beads overseas and hope to pass on these savings to our customers.<br />",000000063,0,0
34,"Beecher's Handmade Cheese","Cheesemaking Kitchen, Retail Store, Deli",206-956-1964,1600 Pike Place,Seattle,WA,98101,thestaff@beecherscheese.com,www.beecherscheese.com,9 am - 6 pm daily,Pike Place - North End,"Watch the cheesemakers at work while you enjoy a grilled-to-order sandwich, homemade soup or Beecher's â€˜world bestâ€™ Mac &amp; Cheese. The cheese case features Beecher's products, as well as a broad assortment of cheeses from artisan producers in the Northwest and Northern California.<a href=""â€™http://www.beecherscheese.comâ€™"" target=""â€™_newâ€™""><br /></a>","000000015,000000088",0,0
36,"Benavi's","Jewelry: specializing in Silver, Jade & other Gemstones",206-624-5780,Pike Place Market Arcade #4,Seattle,WA,98101,,,Monday - Saturday 9 a.m. - 6 p.m  Sunday 9 a.m. - 5 p.m.,Main Arcade,"Unique and original jewelry designs imported from countries such as Thailand, China, Italy and Mexico. We specialize in silver, jade (Chinese and Burmese), and gemstones such as tiger's eye, amber and hematite. <br />Across from Pure Food Fish<br /><br />",000000057,0,0
37,"Betty's Corner",Betty Bennett,206-763-9709,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000039,0,0
38,Clay Designs - Barbara V. Benning,Functional Pottery,206-878-4258,2512 South 208th Street,Seattle,WA,98198,R.Benning@comcast.net,,2 - 3 days per week,"North Arcade, Desimone Bridge & on Pike Place","<p>I make affordable, wheel-turned functional soda-fired stoneware pottery in natural colors with rustic old-world charm. Whimsy and the one-of-a-kind quality is created by making patterns with items I have collected (i.e. buttons, toys, shells, hardwire, etc.). All work is dishwasher/microwave safe and will complement most home dÃ©cor.</p>",000000031,0,0
40,Stickman Leather - Shawn Bettinger,"Bags, Belts and Wallets",425-793-4125,17514 W. Lake Desire Dr. SE,Renton,WA,98058,shawn@stickmanleather.com,www.stickmanleather.com,Weekends year-round,"North Arcade, Desimone Bridge & on Pike Place","Handmade leather goods using only the finest domestic leathers available. With a commitment to the tradition of fine craftsmanship.<a href=""â€™http://www.stickmanleather.comâ€™"" target=""â€™_newâ€™""><br /></a>",000000039,0,0
41,Beyond Threads,,206-448-5577,,,,,,,,First Avenue & Upper Post Alley,,000000050,0,0
44,BLMF Used Books,,206-621-7894,,,,,,,,DownUnder,,000000049,0,0
45,"Blong's Gardens",,425-333-6224,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000053,0,0
557,Inna Peck,,206-234-6114,,,,,,,,,,000000043,0,0
47,Bohemia Therapeutic Massage,"Massage, Foot Massage, Reflexology",206-447-4719,1517 First Avenue,Seattle,WA,98104,,,10 a.m. 6 p.m. every day,Corner Market & Sanitary Market,"Specializing in foot massage and reflexology, Swedish relaxation massage, injury evaluation and treatment, neck and shoulders, and chair massage. Also nails (manicure and pedicure) and henna paintings.<br /><strong><br /></strong>",000000074,0,0
48,Bolles Organic Raspberry Farm,Raspberries & Strawberries,360-805-1980,17930 Tualco Loop Rd.,Monroe,WA,98101,tualco@msn.com,,Daily starting mid-June. 9:00 a.m. - 6:00 p.m.,"North Arcade, Desimone Bridge & on Pike Place","Originally established by Dr. Leo Bolles and now run by his son Kelly Bolles, this 15 acre farm produced chemical free food for his patients who were suffering from various concerns. Now we raise, exclusively for everyone, raspberries with advice from Dr. Bolles.<br />",000000011,0,0
49,"Boston St. Children's Everything Store",,206-634-0580,,,,,,,,First Avenue & Upper Post Alley,,000000050,0,0
50,Bottega Italiana,,206-343-0200,,,,,,,,Economy Market Building,,000000023,0,0
51,Steel Images - Allen Boyce,,360-274-9321,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000040,0,0
52,The Jewelry Wizard - Kasey Bracken,Jewelry - Silversmith,,1916 Pike Place #327,Seattle,WA,98101,kasey@thejewelrywizard.com,www.thejewelrywizard.com,Wednesday - Saturday,"North Arcade, Desimone Bridge & on Pike Place","Hand-worked sterling silver, specializing in trees and suns cut out of the backing so it is visable through translucent stones, mostly amber.<br /><a href=""â€™http://www.thejewelrywizard.comâ€™"" target=""â€™_newâ€™""><br /></a>",000000037,0,0
53,Canelle Citron - Lori Brankey,,206-241-4657,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000037,0,0
54,Softwear Prints - JB Brick,,206-779-6813,,,,,jb@softwearprints.com,www.softwearprints.com,Most days 10:00 a.m. - 4:00 p.m.,"North Arcade, Desimone Bridge & on Pike Place",I have sold at Pike Place Market since 1986. My garment-dyed shirts are 100% preshrunk cotton. Some designs are based on my experiences playing agility with my dogs. Their love of play is inspiring! Other shirts have Pike Place Market and Seattle motifs. All can be previewed on my website mentioned below.<br /><br />,000000032,0,0
55,Brown Bags - Ann V. Brown,Leather Goods & Handbags,206-783-4286,6219 14th Ave. N.W.,Seattle,WA,98107,brownbags@comcast.net,,"Thursday, Saturday, Sunday & Monday","North Arcade, Desimone Bridge & on Pike Place","I handcraft my bags out of a beautiful, soft, water-resistant cowhide. My designs are chic, simple, functional and built to last forever. Designed by a woman with a woman's needs in mind. Located in the Pike Place Market since 1985. Brochures available upon request. <br />",000000039,0,0
56,Terra Burton - by Terra Burton,,206-547-8914,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000037,0,0
57,Cafe Campagne,French Bistro,206-728-2233,1600 Post Alley,Seattle,WA,98101,RBellavita@campagnerestaurant.com,www.campagnerestaurant.com,Brunch: Saturday and Sunday 8 am - 4 pm. Lunch: Monday - Friday 11 am - 5 pm. Dinner: Sunday - Thurs,First Avenue & Upper Post Alley,"Named as one of the top ten restaurants of 1994 (and the best restaurant in 1998) by the Seattle Times and as one of the best restaurants in America by The Wine Spectator, Cafe Campagne has been named Seattle's top French cafe/bistro for four consecutive years by Zagat Survey. <br /><br /><strong><br /></strong><a href=""â€™http://www.campagnerestaurant.comâ€™"" target=""â€™_newâ€™""></a>","000000087,000000089,000000088",0,0
58,Cafe Lieto,,206-441-7999,,,,,,,,First Avenue & Upper Post Alley,,"000000087,000000088",0,0
595,Ugly Baby and La Ru,"Shower Art, belt buckles, necklaces and more with hand drawn illustrations by La Ru. Also, DIY craft",206-696-0089,1430 Western Ave," Seattle","WA ",98101,info@uglybabyandlaru.com,www.uglybabyandlaru.com,,Western Avenue,<p>Ugly Baby and La Ru is the perfect place to pick up unique gifts for everyone on your list. We are two artists who run our businesses out of this shared space. We make everything in our art studios upstairs.</p>,000000063,0,0
583,Ventures - Gifts for Good," Gift Items, Handcrafted Jewelry, Home DÃ©cor",206-508-1342,"1501 Pike Place, Suite #521",Seattle,WA,98101,ventures@washingtoncash.org," www.shopventures.com","Monday - Saturday: 10:00 am - 6:00 pm, Sundays: 10:00 am - 5:00 pm",DownUnder,"<p>Discover one of Seattleâ€™s most unique and inspiring gift stores.<strong> </strong>Behind each locally produced item at Ventures, youâ€™ll find an aspiring entrepreneur working hard to turn their dreams into reality. Our social enterprise helps them get there, and so can youâ€”come shop and make a difference today!</p>",000000063,0,0
62,Can Can,,206-652-0832,,,,,,,,Economy Market Building,,000000089,0,0
63,Candy Store,,206-625-0420,,,,,,,,DownUnder,,000000012,0,0
64,Canter-Berry Farms,"Blueberry Jam, Blueberry Vinegar, Syrup & Chutney",800-548-8418,,,,,cbfdoc@prodigy.net,www.blueberries4u.com,,"North Arcade, Desimone Bridge & on Pike Place","We began selling our blueberry products at the Pike Place Market in 1983. Growing only blueberries allows us to know which varieties make the best jam, syrup, vinegar or chutney. We hope you enjoy our products and come see us at the Market.<br /><a href=""â€™http://www.blueberries4u.comâ€™"" target=""â€™_newâ€™""><br /></a>",000000023,0,0
67,Stilnovich Produce,,206-730-8025,,,,,,,,Main Arcade,,000000017,0,0
68,Cedar River Group,,206-223-7660,,,,,,,,Economy Market Building,,000000069,0,0
69,Yes Wee Wood Miniatures - Howard Chapman,,206-932-4588,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000043,0,0
70,"Cha's Farm",,425-821-0428,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000025,0,0
71,Chaseng Farm,,425-333-4386,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000053,0,0
72,Indochinese Farm - Cheng Chio Saelee,Flowers and Produce,425-725-9679,4702 S. Thistle St.,Seattle,WA,98118,,,Days vary,Main Arcade,"Fresh flowers and fresh produce, a variety of Asian and domestic. In August Â I come five days a week.<br /><br />",000000053,0,0
73,Cheu Chang,,253-630-9062,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,"000000025,000000053",0,0
74,Floral Art - Maria Amity Cheung,,425-562-1491,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000035,0,0
588,irisinseattle - Iris Liu,Paintings & Decals,,,,,,,www.sea-rious.com,,,,000000043,0,0
590,Market Tours & Espresso,,206-805-0195,1499 Post Alley,,,,,www.markettours.com,,,Market Tours &amp; Espresso offers daily historical walking tours. Coffee drinks are offered inside their cozy shop. Grab a seat at the window and enjoy the view of lower Post Alley. Located at 1499 Post Alley (below Rachel the Piggybank and by the Gum Wall).,000000084,0,0
76,Chicken Valley,,206-624-2774,,,,,,,,Main Arcade,,"000000021,000000090",0,0
77,"Children's Garden",,425-333-4393,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,"000000025,000000053",0,0
78,Neptune Furniture,"Handcrafted Wood items including Footstools, Fire Lighters, Cutting Boards",206-463-3944,"Jim or Jackie Chobot, P. O. Box 422",Vashon Island,WA,98070,NeptuneFurn@aol.com,http://www.neptunefurniture.com/,"year round ","North Arcade, Desimone Bridge & on Pike Place","Using driftwood as well as beautiful hardwoods, we offer hair barrettes, wooden bow ties, bead bracelets, rocking chairs, benches, foot stools, cutting boards, fire lighters, wall plaques and other beautiful unique items.",000000045,0,0
79,Chocolate & Ice Cream Delight,,206-441-8877,,,,,,,,Pike Place - North End,,000000015,0,0
80,Choice Produce,,206-623-9920,,,,,,,,Corner Market & Sanitary Market,,000000017,0,0
81,Chow Jewelry - James & Jaw-Ing Chow,,425-486-6785,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000037,0,0
82,North Rain - Dave Christie,Enamel Jewelry,425-347-3729,"1916 Pike Place, Suite #12-554",Seattle,WA,98101,northrain@comcast.net,northrain.webs.com,Every weekend plus,Main Arcade,"Handmade enamel pins and earrings. Frogs, cats, turtles; Christmas, Valentine's Day, St. Patrick's Day, Easter.<br />",000000037,0,0
83,Sally L. Christopher,Functional Stoneware,360-403-7656,17615 35th Ave. SE,Bothell,WA,98012,,,"Thursday, Friday, Saturday, Sunday","North Arcade, Desimone Bridge & on Pike Place","Fish platters and farm animal motif. Oven, dishwasher and microwave safe. Featuring embossed â€˜Pike Place Market, Seattleâ€™ letters or blank.<br /><br />",000000031,0,0
84,"Christopher's Lamp",Intuitive Art,206-903-8344,1501 Pike Place #330,Seattle,WA,98101,christopherslamp@qwest.net,www.christopherslamp.com,"11 am 7 pm by appointment, Sunday 12 - 5 ",DownUnder,"Clairvoyant spiritual counseling, palmistry, astrology &amp; tarot &amp; events. Specializing in relationships and career and how we attract archetypal assignments that mirror subconscious programming.<a href=""â€™http://www.christopherslamp.comâ€™"" target=""â€™_newâ€™""><br /></a>",000000082,0,0
85,"Chueneng Cha's Garden",,425-641-9802,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000053,0,0
86,Chukar Cherries,"All Natural and Chocolate Dried Cherries, Berries and Nuts",800-624-9544,320 Wine Country Road,Prosser,WA,99350-0510,sales@chukar.com,www.chukar.com,Open daily from 9 a.m. to 6 p.m.,Main Arcade,"From our orchards to your door, Chukar does it all. Using local fruits, we create small batches of freshly-made sweets and treats to showcase the natural bounty and flavors of the Pacific Northwest. The <em>Best of</em> Nature, <em>Best of</em> Chocolate. Certified Kosher by KOF-K.  <br /><br /><a href=""â€™http://www.chukar.comâ€™"" target=""â€™_newâ€™""></a>","000000013,000000023",0,0
594,Orange Dracula 5 & 10,"Card and Craft, Buttons, Strange Items",(206) 623-5064,1501 Pike Place #319,Seattle,WA,98101,orangedracula@gmail.com,www.orangedracula.com,Daily 11 am- 6pm (sometimes closed on Tuesdays),DownUnder,"ORANGE DRACULA: The warmth of the Sun and the Cool of the Tomb! Try theÂ black and whiteÂ photobooth, Pinball, and love tester! Orange Dracula is into all things Halloween, punk rock, goth, counter culture, pop culture, pop art, op art, mod, odd, hippie, raver, burner, monster, strange, retro, Americana, dime store, thrift store, drive-in, bicycle, hot-rod, haunted house, kookie, cool, crafty, do-it-yourself, beatnik, vampire, cartoon, colorful, fun in the sun and glow in the dark!Â <br />Â <br />twitter.com/orangedracula<br />youtube.com/orangedracla5and10",000000063,0,0
88,Cinnamon Works,,206-583-0085,,,,,,,,Triangle Building & Post Alley Market,,000000010,0,0
89,Cintli by Beto Yarce,Fine Mexican Jewelry and Art,206-262-0794,"1501 Pike Place Market, #321",Seattle,WA,98101,contact@cintli.com,www.cintli.com,"Monday to Saturday 11:00 am - 5:00 pm, Sunday 12:00 noon - 4:00 pm",DownUnder,"Beautiful and unique silver jewelry accented with wood, glass, natural stones, leather, suede, rubber, resin, and dried flowers. Brilliant stones in granny apple green and vibrant hues of orange, yellow and red complete the stunning bracelets, pendants, earrings, hoops, studs, necklaces, chains, rings, and kitsch Â items of home dÃ©cor. Join us on Tequila Thursday and Mimosa Sundaysâ€¦ Complimentary while you shop! CINTLI is nestled on the 3rd floor by the stairwell in the Down Under of the Pike Place Market<br />",000000063,0,0
90,City Fish,,206-682-9329,,,,,,www.cityfish.com,,"North Arcade, Desimone Bridge & on Pike Place","<a href=""â€™http://www.cityfish.comâ€™"" target=""â€™_newâ€™""><br /></a>",000000016,0,0
91,Name Bracelets,Handmade and Personalized,504-722-0991,P.O. Box 271,Seattle,WA,98111,info@bracelet.name,www.bracelet.name,10 am - 5 pm,"North Arcade, Desimone Bridge & on Pike Place",<p>We can put any name in a personalized macrame bracelet--handmade right here at Pike Place Market. Any name--any size--any color. Great gift idea! On the daystalls most days. Call toll-free: 1-877-ANY-NAME</p>,000000043,0,0
92,Vickie Clark Rafael Designs,Sterling Silver & Mix Metal Jewelry,206-368-9707,19302 5th Ave. NE,Seattle,WA,98155,kalapana@AOL.com,www.vickiesjewelrydesign.com,"Daily, 9:00 a.m. - 5:00 p.m.","North Arcade, Desimone Bridge & on Pike Place","I have been crafting original designed art jewelry pieces for 26 years, using sterling silver, copper and brass raw materials. I cut, solder and hammer my pieces into earrings, pins, necklaces, barrettes and tiaras, and some bracelets, highlighting them with quality beadwork. Unique, wearable and collectable for the customer is my goal.<a href=""â€™http://www.vickiesjewelrydesign.comâ€™"" target=""â€™_newâ€™""><br /></a>",000000037,0,0
93,Frank Coble Artworks,"Art Prints, Art Books, T-Shirts",206-992-7394,2430 Alki Ave. SW,Seattle,WA,98116,fwcoble@yahoo.com,www.frankcoble.com,Daily 9:30 am - 5:30 pm,"North Arcade, Desimone Bridge & on Pike Place","Funny bad kitties art. Also funny dog and animal prints. Also available on t-shirts.<br /><a href=""â€™http://www.frankcoble.comâ€™"" target=""â€™_newâ€™""><br /></a>",000000035,0,0
94,Tatonka Traders - Dallas Coke,,425-235-8338,,,,,katedallis@comcast.net,,,"North Arcade, Desimone Bridge & on Pike Place",,000000039,0,0
95,Kitchen Quips - Jennifer Cole,,206-938-0687,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000038,0,0
96,"Marko's Jewelry - Mark Conover",,206-364-8744,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000037,0,0
97,DC Glass - David Contreras,,,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000036,0,0
98,Copacabana,Bolivian and Spanish Cuisine,206-622-6359,1520 1/2 Post Alley,Seattle,WA,98101,,,,Triangle Building & Post Alley Market,Voted â€˜Best Outdoor Seating 2008â€™ by Seattle Weekly!!! Enjoy Market and water views year-round on our second floor patio deck. Now serving breakfast on Saturdays and Sundays. All you can eat paella Friday and Saturday nights. Celebrating our 45th year serving Bolivian and Spanish cuisine.    Open daily.    Located in the Triangle Building - enter on Post Alley.,"000000087,000000089,000000088",0,0
99,Corner Produce,,206-625-5006,,,,,,,,Corner Market & Sanitary Market,,000000017,0,0
100,Paper Scissors Rock - Pam Corwin,clocks and magnets,1-800-969-0869,504 Grand View Rd. NW,Olympia,WA,98502,psrock@comcast.net," www.psrock.com",5 - 7 days per week,"North Arcade, Desimone Bridge & on Pike Place","<p>Whimsical handmade clocks and glass magnets. All designs by Pamela Corwin.</p>
<p>Â </p>
<a href=""â€™http://www.psrock.comâ€™"" target=""â€™_newâ€™""></a>",000000043,0,0
102,"Hot Flashes, A Glass Studio - Gail Coupal",Fused glass,360-437-9588,P.O. Box 211,Port Gamble,WA,98364,gailcoupal@earthlink.net,,"Mon, Wed,  Fri, Sat, Sun","North Arcade, Desimone Bridge & on Pike Place","<p>Original handcrafted light catchers with N.W. nature images (herons, salmon etc.) and dicrochic glass jewelry.</p>",000000036,0,0
103,Coupe Rokei,Hair and Skincare,206-443-4646,1923 First Avenue,Seattle,WA,98116,couperokeisalon@gmail.com,,"Monday 8am-6pm, Tue-Fri 8am-8pm, Sat 8am-6pm",First Avenue & Upper Post Alley,"Nominated â€œBest Ofâ€ in 13 categories including â€œBest Salonâ€, Coupe Rokei has established itself as one of Seattleâ€™s finest salons. This team of highly skilled and talented professionalâ€™s work includesÂ  The Seattle Opera, Pacific NW Ballet, film, editorial photo shoots, and work with internationally known hairdressers for print and media.",000000070,0,0
